Scan:     22 RXSJ011848.2+383 2015-10-21 +02 22 53.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -440.0555506196330384      0.0115009
    -439.4534793886787156      0.0020515
    -438.8514057359063258      0.0073683
    -438.2493296612158247      0.0116016
    -437.6472511647072565      0.0130128
    -437.0451702463471975      0.0170823
    -436.4430869060691407     -0.0077370
    -435.8410011438731431     -0.0038979
    -435.2389129597923443      0.0104811
    -434.6368223537602944      0.0051740
    -434.0347293258102468      0.0000336
    -433.4326338758756947     -0.0111318
    -432.8305360039232141     -0.0008962
    -432.2284357100194825     -0.0006084
    -431.6263329940978792     -0.0117482
    -431.0242278561917715     -0.0141526
    -430.4221202961679182      0.0017796
    -429.8200103141595037     -0.0033946
    -429.2178979100999641     -0.0051959
    -428.6157830839226790      0.0028729
    -428.0136658356277053      0.0011766
    -427.4115461652816066     -0.0012868
    -426.8094240727845659      0.0042724
    -426.2072995581697796      0.0226889
    -425.6051726214039945     -0.0053850
    -425.0030432624207037     -0.0037965
    -424.4009114812864141     -0.0098283
    -423.7987772779678153     -0.0055133
    -423.1966406524317108     -0.0056525
    -422.5945016046114802      0.0031489
    -421.9923601346402506      0.0110010
    -421.3902162423848949      0.0093409
    -420.7880699278454131      0.0073949
    -420.1859211909885516      0.0136860
    -419.5837700318808743     -0.0086056
    -418.9816164504890139     -0.0013782
    -418.3794604467132672      0.0109026
    -417.7773020206533374      0.0071995
    -417.1751411721429008     -0.0020990
    -416.5729779013150278      0.0081646
    -415.9708122081364650      0.0127834
    -415.3686440925074521      0.0056533
    -414.7664735544278187     -0.0072276
    -414.1643005939975524      0.0089277
    -413.5621252110834121      0.0048659
    -412.9599474057187081      0.0035297
    -412.3577671778369904      0.0069184
    -411.7555845275379056      0.0076400
    -411.1533994547218072      0.0013240
    -410.5512119593552711     -0.0019371
    -409.9490220415049748      0.0002572
    -409.3468297010043671      0.0040822
    -408.7446349380199422      0.0000372
    -408.1424377524851934      0.0097738
    -407.5402381443335003      0.0207052
    -406.9380361134981854      0.0143382
    -406.3358316601458569     -0.0059587
    -405.7336247841099635      0.0084668
    -405.1314154854571257      0.0196478
    -404.5292037640874128      0.0252019
    -403.9269896200675021      0.0124884
    -403.3247730533641402     -0.0080966
    -402.7225540639771566     -0.0086465
    -402.1203326517735945     -0.0025212
    -401.5181088169197210     -0.0036077
    -400.9158825592825224      0.0067988
    -400.3136538788951952      0.0109314
    -399.7114227757578533      0.0015590
    -399.1091892497371987     -0.0132419
    -398.5069533009664724     -0.0001908
    -397.9047149293458006      0.0048152
    -397.3024741349085502     -0.0010168
    -396.7002309175546770      0.0069337
    -396.0979852774175356      0.0077486
    -395.4957372143638281     -0.0048894
    -394.8934867284268648     -0.0036737
    -394.2912338195068855      0.0114254
    -393.6889784877036504      0.0143655
    -393.0867207329839061      0.0106853
    -392.4844605553143992     -0.0025387
    -391.8821979546618195     -0.0000194
    -391.2799329309595464      0.0023464
    -390.6776654843075107      0.0091909
    -390.0753956146724022      0.0029891
    -389.4731233219876572     -0.0056941
    -388.8708486061866552      0.0100968
    -388.2685714674026372      0.0144693
    -387.6662919055356156      0.0105194
    -387.0640099205857041      0.0022159
    -386.4617255124862822     -0.0003304
    -385.8594386813039705      0.0156349
    -385.2571494270054586      0.0038717
    -384.6548577495574364      0.0074116
    -384.0525636489265935      0.0098401
    -383.4502671250797334      0.0092298
    -382.8479681781166732     -0.0022487
    -382.2456668079375390      0.0015433
    -381.6433630145090206      0.0045492
    -381.0410567978311747     -0.0009831
    -380.4387481579373116      0.0180821
    -379.8364370947941211      0.0090250
    -379.2341236083682361     -0.0012783
    -378.6318076985932066      0.0125978
    -378.0294893655354826      0.0069611
    -377.4271686091951779     -0.0103832
    -376.8248454295056149     -0.0006299
    -376.2225198264669075      0.0039832
    -375.6201917999791249     -0.0069048
    -375.0178613502087615     -0.0028710
    -374.4155284770225762      0.0054959
    -373.8131931804206829      0.0070167
    -373.2108554603364041      0.0149752
    -372.6085153169029809      0.0223049
    -372.0061727499872291      0.0033883
    -371.4038277595891486      0.0039158
    -370.8014803456754294      0.0114017
    -370.1991305083125781      0.0088083
    -369.5967782474342584      0.0113803
    -368.9944235630402432      0.0044645
    -368.3920664550973356     -0.0124065
    -367.7897069235389722      0.0001045
    -367.1873449684650268      0.0005488
    -366.5849805898088789      0.0177840
    -365.9826137875372751      0.0145415
    -365.3802445616168484      0.0149979
    -364.7778729121143328     -0.0026969
    -364.1754988389630512      0.0047815
    -363.5731223421630034     -0.0107862
    -362.9707434216475690     -0.0027449
    -362.3683620774834822     -0.0009411
    -361.7659783096040655      0.0073568
    -361.1635921180092623      0.0097080
    -360.5612035026659896     -0.0037315
    -359.9588124635740201     -0.0046589
    -359.3564190007667776     -0.0229854
    -358.7540231141442746      0.0032794
    -358.1516248037732453      0.0172411
    -357.5492240695205055      0.0186269
    -356.9468209115191257      0.0039949
    -356.3444153296360355     -0.0032821
    -355.7420073239377984     -0.0018401
    -355.1395968943244839     -0.0153938
    -354.5371840408960225     -0.0109676
    -353.9347687635525403      0.0059667
    -353.3323510623273478     -0.0193842
    -352.7299309371205140     -0.0054302
    -352.1275083879987164      0.0109766
    -351.5250834149618981      0.0076033
    -350.9226560179434387     -0.0105062
    -350.3202261969435085     -0.0031981
    -349.7177939518953167      0.0072426
    -349.1153592828989076      0.0163296
    -348.5129221898542369      0.0012737
    -347.9104826727947852     -0.0134304
    -347.3080407316205651      0.0032574
    -346.7055963664315072      0.0094031
    -346.1031495771609912      0.0000183
    -345.5007003638090737     -0.0102234
