Scan:    605 RXSJ225148.5+341 2015-10-27 +21 26 58.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -440.6688967832909611     -0.0043129
    -440.0668124866738822     -0.0137602
    -439.4647257681720021      0.0077887
    -438.8626366276856174      0.0138725
    -438.2605450652479249      0.0036479
    -437.6584510807923607     -0.0066358
    -437.0563546743522920     -0.0066114
    -436.4542558459275483      0.0147461
    -435.8521545954517933      0.0083179
    -435.2500509228916030      0.0064134
    -434.6479448283134843      0.0025862
    -434.0458363116842975      0.0001625
    -433.4437253729373651     -0.0068870
    -432.8416120120727442      0.0072536
    -432.2394962291237448     -0.0045916
    -431.6373780240569999     -0.0067969
    -431.0352573967727494     -0.0143708
    -430.4331343473706966      0.0024419
    -429.8310088758177585     -0.0067956
    -429.2288809820805113     -0.0103219
    -428.6267506660591380      0.0029396
    -428.0246179278868226      0.0044789
    -427.4224827674969447     -0.0022313
    -426.8203451848229406      0.0071495
    -426.2182051798647535      0.0139230
    -425.6160627526558073     -0.0119590
    -425.0139179031959884     -0.0140101
    -424.4117706313522831      0.0049197
    -423.8096209372243379     -0.0037330
    -423.2074688207790700     -0.0046488
    -422.6053142819830555     -0.0034539
    -422.0031573207698443     -0.0027782
    -421.4009979372058865      0.0117364
    -420.7988361312579855     -0.0039215
    -420.1966719029261412      0.0048590
    -419.5945052520771696      0.0046973
    -418.9923361788775082      0.0013941
    -418.3901646832272831      0.0125625
    -417.7879907650932978      0.0120889
    -417.1858144244088749      0.0127904
    -416.5836356613072553      0.0100019
    -415.9814544756884516      0.0163966
    -415.3792708674860137     -0.0005640
    -414.7770848367997587      0.0015082
    -414.1748963835631230      0.0050156
    -413.5727055077427963      0.0131793
    -412.9705122093055252     -0.0011362
    -412.3683164882845631      0.0005308
    -411.7661183446799669     -0.0023891
    -411.1639177784583694     -0.0017917
    -410.5617147895200105      0.0052051
    -409.9595093779646504     -0.0075551
    -409.3573015437590925      0.0103846
    -408.7550912868700266     -0.0015411
    -408.1528786071974650      0.0037990
    -407.5506635049080728      0.0005000
    -406.9484459798686089      0.0056851
    -406.3462260320123960      0.0040670
    -405.7440036614726750     -0.0043741
    -405.1417788681496290     -0.0030246
    -404.5395516520098340     -0.0066546
    -403.9373220130534605      0.0140100
    -403.3350899513137051      0.0026933
    -402.7328554667572575      0.0028373
    -402.1306185593176110     -0.0073329
    -401.5283792289947087      0.0018782
    -400.9261374758551710      0.0026201
    -400.3238932997991810      0.0147688
    -399.7216467007933716      0.0191714
    -399.1193976789043063      0.0198324
    -398.5171462340987318     -0.0041099
    -397.9148923663433379     -0.0121864
    -397.3126360755716178      0.0066935
    -396.7103773618501350     -0.0106958
    -396.1081162251788328      0.0066792
    -395.5058526654578941      0.0054373
    -394.9035866826872621      0.0061294
    -394.3013182769002469     -0.0157507
    -393.6990474480969624      0.0085012
    -393.0967741962107311      0.0063355
    -392.4944985212082997     -0.0217142
    -391.8922204231229216      0.0020396
    -391.2899399019545967     -0.0061899
    -390.6876569576035081      0.0103797
    -390.0853715901694727      0.0052875
    -389.4830837995859838      0.0061794
    -388.8807935858197311      0.0047033
    -388.2785009488040942      0.0019138
    -387.6762058886722571     -0.0021497
    -387.0739084053244028      0.0135621
    -386.4716084987271643      0.0000944
    -385.8693061688472312      0.0052942
    -385.2670014157512810      0.0121116
    -384.6646942394060034     -0.0022163
    -384.0623846397115244     -0.0036711
    -383.4600726167677180     -0.0049112
    -382.8577581705079638     -0.0100930
    -382.2554413008990650     -0.0161906
    -381.6531220079409650     -0.0035191
    -381.0508002916336068      0.0142876
    -380.4484761519771041      0.0018376
    -379.8461495889048365     -0.0021514
    -379.2438206023834368      0.0146934
    -378.6414891925129496      0.0007671
    -378.0391553591933871      0.0060080
