Scan:    833 2MASSJ00413+2816 2015-11-01 +04 22 13.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5355616959085410      0.0141122
    -521.9338000087806222     -0.0072607
    -521.3320359016651082     -0.0017435
    -520.7302693745622264     -0.0158385
    -520.1285004273718187     -0.0068020
    -519.5267290601273089     -0.0042074
    -518.9249552728286972     -0.0142313
    -518.3231790655091800      0.0066363
    -517.7214004380025472     -0.0014187
    -517.1196193904085021     -0.0141500
    -516.5178359227602414     -0.0094945
    -515.9160500348915548     -0.0133624
    -515.3142617268688355     -0.0256887
    -514.7124709986921971     -0.0140223
    -514.1106778503948362      0.0038577
    -513.5088822818103154     -0.0027747
    -512.9070842930386789      0.0009877
    -512.3052838840796994     -0.0135441
    -511.7034810548669270     -0.0039119
    -511.1016758053336844     -0.0113996
    -510.4998681355800159     -0.0053548
    -509.8980580455725544     -0.0259620
    -509.2962455352113693     -0.0123175
    -508.6944306045298276     -0.0079525
    -508.0926132535944362     -0.0059137
    -507.4907934822388142     -0.0144215
    -506.8889712905295255     -0.0047368
    -506.2871466784665699     -0.0166095
    -505.6853196460166942     -0.0103708
    -505.0834901931465879      0.0098845
    -504.4816583198895046     -0.0018386
    -503.8798240262121340      0.0143519
    -503.2779873120480261      0.0042861
    -502.6761481774303775      0.0002318
    -502.0743066223259916      0.0030270
    -501.4724626467680082     -0.0035992
    -500.8706162506899773     -0.0005641
    -500.2687674340585318      0.0071803
    -499.6669161969736024      0.0051377
    -499.0650625392687516     -0.0190156
    -498.4632064610104862      0.0126633
    -497.8613479621989200     -0.0136797
    -497.2594870427673186     -0.0196974
    -496.6576237027491629     -0.0044279
    -496.0557579420777188      0.0070557
    -495.4538897608196066     -0.0051275
    -494.8520191588750663      0.0010832
    -494.2501461362772375     -0.0004989
    -493.6482706930261770      0.0060134
    -493.0463928290554350     -0.0142296
    -492.4445125443315305      0.0109011
    -491.8426298389211411      0.0054520
    -491.2407447128242097      0.0011029
    -490.6388571659077229      0.0080472
    -490.0369671982381305      0.0038891
    -489.4350748098154327     -0.0040925
    -488.8331800005398691     -0.0013889
    -488.2312827704778897      0.0003180
    -487.6293831195962980     -0.0044741
    -487.0274810478950940      0.0033365
    -486.4255765553076571     -0.0042224
    -485.8236696418339875      0.0065113
    -485.2217603075407055      0.0078594
    -484.6198485522946839      0.0012922
    -484.0179343761624295     -0.0088651
    -483.4160177790773218     -0.0001616
    -482.8140987610728416     -0.0096885
    -482.2121773220822547     -0.0103462
    -481.6102534621389282     -0.0023571
    -481.0083271812427483      0.0015538
    -480.4063984792940118      0.0033391
    -479.8044673563259153     -0.0106192
    -479.2025338123384586     -0.0065411
    -478.6005978473316986      0.0032988
    -477.9986594612390718     -0.0064575
    -477.3967186540604644     -0.0043061
    -476.7947754258624968     -0.0157137
    -476.1928297765120988     -0.0141883
    -475.5908817060092133     -0.0075151
    -474.9889312143872075     -0.0041619
    -474.3869783016791644      0.0061183
    -473.7850229677521270      0.0056326
    -473.1830652126393488      0.0034557
    -472.5811050364073367     -0.0034503
    -471.9791424389230770     -0.0017010
    -471.3771774201864559      0.0018124
    -470.7752099802307839     -0.0036334
    -470.1732401190893711     -0.0101594
    -469.5712678365957800      0.0073548
    -468.9692931328497707      0.0132759
    -468.3673160078848241      0.0009723
    -467.7653364615343889     -0.0173027
    -467.1633544938650289     -0.0025454
    -466.5613701048436042      0.0001547
    -465.9593832945364511     -0.0200227
    -465.3573940628105561     -0.0095213
    -464.7554024096992293     -0.0107904
    -464.1534083352357243     -0.0061805
    -463.5514118393202239      0.0117842
    -462.9494129219859246     -0.0030951
    -462.3474115831996301      0.0178456
    -461.7454078230278469      0.0084589
    -461.1434016413375048     -0.0129867
    -460.5413930381285468     -0.0010832
    -459.9393820135008468      0.0008859
    -459.3373685673212776      0.0040411
    -458.7353526995897823      0.0026488
    -458.1333344103730383      0.0135777
    -457.5313136995378045     -0.0224991
    -456.9292905671507583     -0.0105337
    -456.3272650131784758     -0.0065856
    -455.7252370376543240      0.0023988
    -455.1232066404451757     -0.0023935
    -454.5211738216175377     -0.0052185
    -453.9191385812048338      0.0183917
    -453.3171009191070198     -0.0096302
    -452.7150608352910126     -0.0031258
    -452.1130183297898384     -0.0049753
    -451.5109734026703450      0.0000716
    -450.9089260537659243     -0.0104130
    -450.3068762831099434     -0.0172552
    -449.7048240908022763      0.0008412
    -449.1027694766431182     -0.0016291
    -448.5007124407324000     -0.0040408
    -447.8986529830035010      0.0041444
    -447.2965911035563522      0.0062776
    -446.6945268021912057     -0.0034224
    -446.0924600790411318     -0.0093146
    -445.4903909340729342      0.0010721
    -444.8883193671867957      0.0048928
    -444.2862453784159129      0.0024252
    -443.6841689677602858     -0.0073114
    -443.0820901352532815      0.0008855
    -442.4800088807949123      0.0026374
    -441.8779252043852921     -0.0014372
    -441.2758391060577310      0.0010449
