Scan:    445 RXSJ015536.7+311 2015-10-24 +04 04 30.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5213507978530743     -0.0092802
    -521.9196054925378121     -0.0045214
    -521.3178577673015752      0.0021941
    -520.7161076222108704     -0.0080108
    -520.1143550572325012     -0.0082180
    -519.5126000723331572     -0.0077413
    -518.9108426675128385     -0.0014899
    -518.3090828426716143      0.0060091
    -517.7073205979095292      0.0006766
    -517.1055559331931590      0.0004174
    -516.5037888484558835      0.0019061
    -515.9020193437311264     -0.0090203
    -515.3002474189854638     -0.0118294
    -514.6984730741525027     -0.0012144
    -514.0966963092986362     -0.0036754
    -513.4949171243906676      0.0028450
    -512.8931355193952868      0.0074685
    -512.2913514943124937      0.0001066
    -511.6895650491090919     -0.0004932
    -511.0877761837517141     -0.0092338
    -510.4859848983068673     -0.0094597
    -509.8841911926747912     -0.0106283
    -509.2823950669220494     -0.0069371
    -508.6805965209488249      0.0051708
    -508.0787955547883143     -0.0012103
    -507.4769921683739540     -0.0025732
    -506.8751863617723643      0.0084435
    -506.2733781349169249      0.0106355
    -505.6715674878077493     -0.0095030
    -505.0697544204447240     -0.0077102
    -504.4679389327945387      0.0069180
    -503.8661210247907434     -0.0024289
    -503.2643006965330983     -0.0042265
    -502.6624779479218432     -0.0024171
    -502.0606527789901747     -0.0022996
    -501.4588251897048394      0.0007885
    -500.8569951800325271      0.0010770
    -500.2551627499067308      0.0043520
    -499.6533278994605212      0.0073049
    -499.0514906285607708     -0.0084144
    -498.4496509372741002     -0.0099132
    -497.8478088255006355     -0.0052648
    -497.2459642933069404     -0.0012420
    -496.6441173405598875      0.0015562
    -496.0422679673925472     -0.0178810
    -495.4404161737052164      0.0067759
    -494.8385619594976674      0.0110954
    -494.2367053247701278      0.0087756
    -493.6348462694559203     -0.0049910
    -493.0329847935882981     -0.0068134
    -492.4311208971340648     -0.0077190
    -491.8292545801264168      0.0014448
    -491.2273858424988475     -0.0072819
    -490.6255146842514137      0.0133267
    -490.0236411053840015      0.0004282
    -489.4217651057967373     -0.0089520
    -488.8198866856228619     -0.0023934
    -488.2180058447291913      0.0044602
    -487.6161225831823458      0.0015413
    -487.0142369008823948      0.0002188
    -486.4123487978959588     -0.0040290
    -485.8104582741231638     -0.0065879
    -485.2085653296305168     -0.0056754
    -484.6066699643515676     -0.0017032
    -484.0047721783195698     -0.0018474
    -483.4028719714679028      0.0050431
    -482.8009693438298768      0.0089016
    -482.1990642953056181     -0.0028575
    -481.5971568259950573      0.0050984
    -480.9952469358315739      0.0092108
    -480.3933346247818577      0.0000564
    -479.7914198928792757     -0.0048702
    -479.1895027400571507     -0.0085888
    -478.5875831662822293      0.0011230
    -477.9856611716211319     -0.0033751
    -477.3837367560072380     -0.0050946
    -476.7818099194406045     -0.0050587
    -476.1798806619211746      0.0037669
    -475.5779489834157516      0.0030376
    -474.9760148838243481      0.0025326
    -474.3740783633134583     -0.0013457
    -473.7721394217498982     -0.0063131
    -473.1701980591338383      0.0008163
    -472.5682542754651081     -0.0048797
    -471.9663080707437075     -0.0004335
    -471.3643594448365661     -0.0018340
    -470.7624083979100647     -0.0047659
    -470.1604549298644429     -0.0002289
    -469.5584990406662769      0.0100217
    -468.9565407303489906      0.0089772
    -468.3545799988791600      0.0036664
    -467.7526168461570251     -0.0012883
    -467.1506512722824027     -0.0005869
    -466.5486832772220396     -0.0018319
    -465.9467128609426254      0.0094575
    -465.3447400234109068     -0.0030273
    -464.7427647646600803     -0.0132827
    -464.1407870845903858     -0.0033413
    -463.5388069832683868      0.0049968
    -462.9368244606608300      0.0072557
    -462.3348395167676017     -0.0023671
    -461.7328521515221951      0.0037876
    -461.1308623649246101      0.0059525
    -460.5288701570081003     -0.0072241
    -459.9268755277062155      0.0016848
    -459.3248784770520956     -0.0015919
    -458.7228790049792906     -0.0036182
    -458.1208771115209402      0.0019556
    -457.5188727965773410     -0.0000377
    -456.9168660602482532      0.0011029
    -456.3148569024338599      0.0069566
    -455.7128453232006677     -0.0014861
    -455.1108313224489734     -0.0084384
    -454.5088149002118598      0.0006952
    -453.9067960564229907      0.0126735
    -453.3047747911487022     -0.0037252
    -452.7027511043226013      0.0021601
    -452.1007249959445744     -0.0022940
    -451.4986964660147351     -0.0048377
    -450.8966655144664060     -0.0060227
    -450.2946321412996440      0.0036213
    -449.6925963465477025      0.0018377
    -449.0905581301773282      0.0039254
    -448.4885174921884641      0.0015151
    -447.8864744325146034     -0.0120788
    -447.2844289511558031      0.0001693
    -446.6823810480786392     -0.0031266
    -446.0803307233497890     -0.0015662
    -445.4782779768693217      0.0085227
    -444.8762228087038579     -0.0033425
    -444.2741652187867203     -0.0097369
    -443.6721052070848259     -0.0048175
    -443.0700427735647509      0.0054086
    -442.4679779183263690     -0.0037374
    -441.8659106412698634      0.0000239
    -441.2638409423619237      0.0110895
    -440.6617688216691135      0.0053978
    -440.0596942791248694     -0.0013538
    -439.4576173146293172      0.0124014
    -438.8555379283489515      0.0058435
    -438.2534561201505312      0.0052924
    -437.6513718900341132      0.0068808
    -437.0492852380330646      0.0007814
    -436.4471961640806512      0.0068237
    -435.8451046681103662      0.0052201
    -435.2430107502554506      0.0071162
    -434.6409144103826065     -0.0014926
    -434.0388156485585682     -0.0110528
    -433.4367144647166015     -0.0032169
    -432.8346108588235097      0.0032137
    -432.2325048308460396      0.0074688
    -431.6303963808840081      0.0054207
    -431.0282855088707947      0.0082783
    -430.4261722147398928      0.0018438
    -429.8240564985245555     -0.0108870
    -429.2219383601915297     -0.0013253
    -428.6198177997075618      0.0040395
    -428.0176948171058484     -0.0023301
    -427.4155694123531362      0.0077312
    -426.8134415854494819      0.0036025
    -426.2113113363615753      0.0042230
    -425.6091786650560493     -0.0040452
    -425.0070435714997643     -0.0086248
    -424.4049060557591702      0.0106160
    -423.8027661177677032      0.0063211
    -423.2006237575254772      0.0081970
    -422.5984789749990682      0.0072218
    -421.9963317702218433      0.0079604
    -421.3941821430606751     -0.0089262
    -420.7920300936486342     -0.0047505
    -420.1898756218859603     -0.0064730
    -419.5877187278057932     -0.0058944
    -418.9855594113417396     -0.0058944
    -418.3833976725269395     -0.0083912
    -417.7812335112616324     -0.0081390
    -417.1790669276455787     -0.0033327
    -416.5768979216123853      0.0008629
    -415.9747264931285713      0.0130423
    -415.3725526422275038      0.0001794
    -414.7703763688426761     -0.0017676
    -414.1681976729406642     -0.0016507
    -413.5660165545881455      0.0024333
    -412.9638330137518096     -0.0156282
    -412.3616470503650930     -0.0041532
    -411.7594586644612491     -0.0014340
    -411.1572678560070813      0.0018493
    -410.5550746249359122     -0.0024071
    -409.9528789713476158     -0.0060111
    -409.3506808951424318      0.0009063
    -408.7484803963535001     -0.0048514
    -408.1462774749143705      0.0018560
    -407.5440721308582397      0.0020004
    -406.9418643640853475     -0.0049389
    -406.3396541746955108     -0.0013219
    -405.7374415626553628     -0.0016275
    -405.1352265278984532      0.0041558
    -404.5330090704247823      0.0041177
    -403.9307891901676726      0.0049527
    -403.3285668872270548     -0.0014641
    -402.7263421615696188      0.0023784
    -402.1241150130955475     -0.0078267
    -401.5218854418714045      0.0029058
    -400.9196534478305693     -0.0007340
    -400.3174190309065352      0.0012264
    -399.7151821912323726     -0.0008317
    -399.1129429287082644      0.0044675
    -398.5107012433342675      0.0041133
    -397.9084571350770148     -0.0031721
    -397.3062106039365062     -0.0085241
    -396.7039616498796022      0.0020979
    -396.1017102729060753     -0.0033965
    -395.4994564730493494     -0.0023211
    -394.8972002502095506      0.0073144
    -394.2949416044199324      0.0048717
    -393.6926805356806085      0.0031226
    -393.0904170438582810      0.0113635
    -392.4881511291194442      0.0018613
    -391.8858827913642813     -0.0058538
    -391.2836120305594250     -0.0004035
    -390.6813388467050459      0.0167325
    -390.0790632398009166      0.0006163
    -389.4767852097806440     -0.0023469
    -388.8745047567106212      0.0044460
    -388.2722218805244552      0.0090307
    -387.6699365812220890      0.0060456
