Scan:     18 RXSJ0043.6+37252 2015-10-21 +01 37 38.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5193568263338193     -0.0103651
    -521.9176138590285063     -0.0072614
    -521.3158684718687255     -0.0152534
    -520.7141206648212801     -0.0092454
    -520.1123704379193669     -0.0186961
    -519.5106177911297891      0.0009848
    -518.9088627244192367     -0.0026933
    -518.3071052377210890     -0.0180390
    -517.7053453311352769      0.0132671
    -517.1035830045619832      0.0048050
    -516.5018182580010944     -0.0068671
    -515.9000510914526103      0.0002017
    -515.2982815049166447      0.0075878
    -514.6965094984263942      0.0004850
    -514.0947350718154212     -0.0180603
    -513.4929582251836564     -0.0063070
    -512.8911789584644794     -0.0078879
    -512.2893972716912003     -0.0002862
    -511.6876131648305090     -0.0153347
    -511.0858266378490953     -0.0163177
    -510.4840376908136363     -0.0170633
    -509.8822463235909481     -0.0230667
    -509.2804525361809169     -0.0042889
    -508.6786563286502769     -0.0012721
    -508.0768577009323508      0.0011745
    -507.4750566530271954      0.0061404
    -506.8732531849015004      0.0011628
    -506.2714472965885761      0.0067971
    -505.6696389879885487     -0.0068431
    -505.0678282591679249     -0.0276248
    -504.4660151100601979      0.0053659
    -503.8641995406654246      0.0004376
    -503.2623815509836049     -0.0135511
    -502.6605611410145684      0.0035635
    -502.0587383107584856      0.0076480
    -501.4569130600821723     -0.0048354
    -500.8550853890854455      0.0014752
    -500.2532552977017986     -0.0168923
    -499.6514227859312314      0.0047451
    -499.0495878537736871     -0.0148598
    -498.4477505012291090     -0.0095520
    -497.8459107282311038     -0.0168838
    -497.2440685348461784     -0.0150597
    -496.6422239209410918     -0.0247349
    -496.0403768865825214      0.0055130
    -495.4385274317037897     -0.0058657
    -494.8366755563716310     -0.0076231
    -494.2348212604861146      0.0034697
    -493.6329645441137473     -0.0071641
    -493.0311054072212755     -0.0051785
    -492.4292438497089393      0.0111252
    -491.8273798716431315     -0.0097170
    -491.2255134729907127     -0.0296073
    -490.6236446537183724      0.0032594
    -490.0217734138594210     -0.0089725
    -489.4198997533471811      0.0045363
    -488.8180236722482732     -0.0102145
    -488.2161451704296837      0.0012731
    -487.6142642479244955     -0.0010830
    -487.0123809047660757     -0.0030689
    -486.4104951408546640      0.0071365
    -485.8086069562566536      0.0028820
    -485.2067163509389616      0.0173608
    -484.6048233248347969     -0.0003132
    -484.0029278780442610      0.0074346
    -483.4010300104006888     -0.0098944
    -482.7991297220041247     -0.0134632
    -482.1972270127545812     -0.0111788
    -481.5953218827187357     -0.0057383
    -480.9934143318298538      0.0030868
    -480.3915043601214165     -0.0012383
    -479.7895919675600567     -0.0079077
    -479.1876771540792674     -0.0004920
    -478.5857599197121317      0.0034987
    -477.9838402644256234     -0.0013978
    -477.3819181882195721     -0.0072092
    -476.7799936910940346     -0.0206743
    -476.1780667729825041      0.0091855
    -475.5761374339846839      0.0038795
    -474.9742056739342502      0.0149068
    -474.3722714928977666      0.0023292
    -473.7703348908419798      0.0060796
    -473.1683958677668329     -0.0005779
    -472.5664544236390157      0.0042654
    -471.9645105584586418      0.0019621
    -471.3625642722589077      0.0189367
    -470.7606155649399398      0.0013574
    -470.1586644365017946      0.0076962
    -469.5567108869777826      0.0122936
    -468.9547549163012263     -0.0068974
    -468.3527965245055498     -0.0066242
    -467.7508357115240756     -0.0076846
    -467.1488724773901708      0.0143488
    -466.5469068221037219      0.0089712
    -465.9449387455982787     -0.0007835
    -465.3429682478404743      0.0081926
    -464.7409953288636757     -0.0044410
    -464.1390199886345158     -0.0081385
    -463.5370422271863049     -0.0051750
    -462.9350620444192259      0.0038199
    -462.3330794404330391      0.0017107
    -461.7310944150947876      0.0011089
    -461.1291069684375543     -0.0068403
    -460.5271171004281996     -0.0059178
    -459.9251248110999200     -0.0064439
    -459.3231301003861518     -0.0154851
    -458.7211329683202621     -0.0070831
    -458.1191334148688838      0.0067114
    -457.5171314399987637      0.0031780
    -456.9151270437099015     -0.0006240
    -456.3131202259689871     -0.0007522
    -455.7111109868093877      0.0152189
    -455.1090993261644257      0.0006194
    -454.5070852440341582     -0.0163153
    -453.9050687404518953      0.0030703
    -453.3030498153510166      0.0037264
    -452.7010284686982686     -0.0159141
    -452.0990047005269048     -0.0059586
    -451.4969785107703615      0.0032917
    -450.8949498994619489      0.0087943
    -450.2929188666016671      0.0031930
    -449.6908854121229524     -0.0157596
    -449.0888495360590582      0.0026216
    -448.4868112383767311      0.0044569
    -447.8847705190094075      0.0096987
    -447.2827273779903408      0.0071418
    -446.6806818153194740     -0.0057849
    -446.0786338309636108     -0.0224896
    -445.4765834249228078      0.0032795
    -444.8745305971969515      0.0064472
    -444.2724753476862816     -0.0018141
    -443.6704176764572480      0.0041025
    -443.0683575834766543     -0.0005232
    -442.4662950687111902      0.0065826
    -441.8642301321608556     -0.0043995
    -441.2621627737923973     -0.0043796
