Scan:    530 SDSSJ001847.44+3 2015-10-27 +06 05 00.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -440.6676708655876382      0.0005142
    -440.0655882028981409     -0.0058200
    -439.4635031182240823      0.0030717
    -438.8614156116652794     -0.0050917
    -438.2593256830886048     -0.0016149
    -437.6572333325939894     -0.0103560
    -437.0551385600815024     -0.0015233
    -436.4530413655843972      0.0063729
    -435.8509417490362807     -0.0100408
    -435.2488397105034892      0.0236211
    -434.6467352499528829     -0.0084937
    -434.0446283672512777      0.0140655
    -433.4425190625651112      0.0024175
    -432.8404073357279458     -0.0227570
    -432.2382931868064020     -0.0204655
    -431.6361766157671127     -0.0234383
    -431.0340576226101348     -0.0191990
    -430.4319362072689046     -0.0053063
    -429.8298123698099289     -0.0031403
    -429.2276861101001941      0.0119883
    -428.6255574282727139      0.0105453
    -428.0234263241944177      0.0047075
    -427.4212927979651226     -0.0029629
    -426.8191568494516446      0.0208957
    -426.2170184786874643      0.0164821
    -425.6148776856722975      0.0081695
    -425.0127344703398649      0.0054065
    -424.4105888327565026      0.0142941
    -423.8084407728224505      0.0056060
    -423.2062902906376394     -0.0070043
    -422.6041373860355179     -0.0024143
    -422.0019820591493271     -0.0035409
    -421.3998243098458829     -0.0059585
    -420.7976641381916920      0.0031137
    -420.1955015441535579     -0.0100112
    -419.5933365276648601      0.0027758
    -418.9911690887922191      0.0067669
    -418.3889992274357610      0.0054663
    -417.7868269436619926     -0.0094835
    -417.1846522373712105     -0.0120621
    -416.5824751086631181      0.0025255
    -415.9802955573713916      0.0078674
    -415.3781135836623548      0.0061585
    -414.7759291873364305      0.0060407
    -414.1737423685266322      0.0108286
    -413.5715531271997634     -0.0009312
    -412.9693614632226399     -0.0061922
    -412.3671673766951358      0.0084035
    -411.7649708675173201      0.0070529
    -411.1627719357891806      0.0021387
    -410.5605705813775330      0.0046893
    -409.9583668043822513     -0.0087026
    -409.3561606046700376     -0.0087913
    -408.7539519823409364     -0.0014825
    -408.1517409372617635      0.0038871
    -407.5495274695323360      0.0177925
    -406.9473115790528368      0.0141902
    -406.3450932658565193     -0.0034755
    -405.7428725299433836     -0.0079344
    -405.1406493712135557     -0.0088547
    -404.5384237897336561      0.0039170
    -403.9361957854371212      0.0007533
    -403.3339653583904578     -0.0044244
    -402.7317325084606523     -0.0061609
    -402.1294972357474080     -0.0108087
    -401.5272595401509079      0.0059740
    -400.9250194217378294     -0.0117346
    -400.3227768803749314     -0.0045712
    -399.7205319161620309     -0.0005685
    -399.1182845290659884      0.0080432
    -398.5160347189868162      0.0213932
    -397.9137824860576984      0.0086393
    -397.3115278300790010      0.0016356
    -396.7092707512170477      0.0146712
    -396.1070112493054580      0.0042544
    -395.5047493244440489     -0.0016635
    -394.9024849765330032     -0.0067519
    -394.3002182056388847      0.0110107
    -393.6979490116618763     -0.0022729
    -393.0956773946684280     -0.0130721
    -392.4934033546254000      0.0018085
    -391.8911268914328616      0.0083208
    -391.2888480052239402     -0.0101620
    -390.6865666958323118     -0.0120227
    -390.0842829633576798     -0.0019012
    -389.4819968077002841     -0.0173556
    -388.8797082289266882      0.0156692
    -388.2774172269370183      0.0137489
    -387.6751238018311483      0.0138064
    -387.0728279534426406      0.0101022
    -386.4705296819046225      0.0025967
    -385.8682289870840805      0.0018657
    -385.2659258690806610      0.0205131
    -384.6636203278279140      0.0221737
    -384.0613123632259658     -0.0049783
    -383.4590019754080004      0.0078149
    -382.8566891642074665     -0.0079459
    -382.2543739297576622      0.0010172
    -381.6520562719253462     -0.0065448
    -381.0497361908104494      0.0023184
    -380.4474136862797309     -0.0053057
    -379.8450887583998110     -0.0065545
    -379.2427614071041262      0.0068608
    -378.6404316324593538     -0.0078541
    -378.0380994343653924     -0.0047956
    -377.4357648128224696      0.0009926
    -376.8334277678637250      0.0023889
    -376.2310882993893983      0.0019663
    -375.6287464074660534      0.0030347
    -375.0264020920270696     -0.0011352
    -374.4240553531390105      0.0130010
    -373.8217061906688059      0.0190724
    -373.2193546047162158      0.0197914
    -372.6170005951482267      0.0147484
    -372.0146441620645987      0.0076798
    -371.4122853053988251      0.0055856
    -370.8099240251175388      0.0036357
    -370.2075603212540500      0.0008563
    -369.6051941937085985     -0.0134049
    -369.0028256426141979      0.0071963
    -368.4004546677712142     -0.0068183
    -367.7980812693460848     -0.0052790
    -367.1957054471390052     -0.0144046
    -366.5933272013164697     -0.0054935
    -365.9909465317452941     -0.0076395
    -365.3885634384922128     -0.0003652
    -364.7861779214238709      0.0092892
    -364.1837899806735095      0.0005257
    -363.5813996161412547      0.0008462
    -362.9790068277939099      0.0054573
    -362.3766116156646149      0.0043317
    -361.7742139796868628     -0.0046202
    -361.1718139199272173     -0.0067629
    -360.5694114362858613     -0.0081595
    -359.9670065288293586      0.0113997
    -359.3645991974577782     -0.0001286
    -358.7621894422378546     -0.0073528
    -358.1597772630362329     -0.0044220
    -357.5573626600194643      0.0113480
    -356.9549456330544217     -0.0027508
    -356.3525261820744845     -0.0057694
    -355.7501043072128937      0.0189394
    -355.1476800083030980      0.0132609
    -354.5452532854782248      0.0052606
    -353.9428241385719502      0.0208548
    -353.3403925677174016     -0.0034771
    -352.7379585727481413      0.0053934
    -352.1355221538305500     -0.0050572
    -351.5330833107649937      0.0020991
    -350.9306420436844860      0.0060643
    -350.3281983524893235     -0.0075758
    -349.7257522371461391      0.0003505
    -349.1233036977548068     -0.0091721
    -348.5208527341488889      0.0022092
    -347.9183993464615696     -0.0028247
    -347.3159435345596648     -0.0028480
    -346.7134852985097950      0.0099455
    -346.1110246382452260      0.0044222
    -345.5085615537994954      0.0035109
    -344.9060960450725588      0.0026540
    -344.3036281121644038      0.0060505
    -343.7011577549417325     -0.0032469
    -343.0986849735377859     -0.0066426
    -342.4962097678194937     -0.0012015
    -341.8937321377534317      0.0051911
    -341.2912520834395309     -0.0067597
    -340.6887696047446639      0.0082653
    -340.0862847017686477     -0.0075197
    -339.4837973743783550     -0.0139088
    -338.8813076226736030      0.0099450
    -338.2788154465213779      0.0031074
    -337.6763208460213832      0.0076930
    -337.0738238210738587      0.0129444
    -336.4713243717120577      0.0118138
    -335.8688224979359802      0.0134678
    -335.2663181996458093      0.0047143
    -334.6638114769413050     -0.0006253
    -334.0613023296894539     -0.0030548
    -333.4587907579899593     -0.0109089
    -332.8562767617098075      0.0124281
    -332.2537603409821259      0.0054431
    -331.6512414956404768     -0.0162896
    -331.0487202257846775     -0.0077182
    -330.4461965312816574     -0.0104125
    -329.8436704122644869     -0.0039138
    -329.2411418686333491      0.0086908
    -328.6386109003549336      0.0052806
    -328.0360775074625508     -0.0179880
    -327.4335416898896369     -0.0050587
    -326.8310034477027557     -0.0063258
    -326.2284627808019764      0.0025462
    -325.6259196892207228      0.0206690
    -325.0233741729256849      0.0225143
    -324.4208262319167488      0.0228734
    -323.8182758661607181      0.0121466
    -323.2157230756908461      0.0024547
    -322.6131678604073159     -0.0089064
    -322.0106102203766909     -0.0053876
    -321.4080501555656610      0.0116802
    -320.8054876658743524      0.0201295
    -320.2029227514359491      0.0047192
    -319.6003554121173238     -0.0114113
    -318.9977856479517868     -0.0161530
    -318.3952134589059142     -0.0101375
    -317.7926388450131299      0.0077121
    -317.1900618061735031      0.0062337
    -316.5874823424869646     -0.0148244
    -315.9849004538202735     -0.0124705
    -315.3823161402401070      0.0060311
    -314.7797294017130980      0.0119976
    -314.1771402381727398     -0.0047008
    -313.5745486496855392     -0.0190208
    -312.9719546361849893      0.0152529
    -312.3693581976710334      0.0268030
    -311.7667593341104180     -0.0045993
    -311.1641580455364533      0.0086120
    -310.5615543318825189      0.0173250
    -309.9589481931818682      0.0135221
    -309.3563396293680512     -0.0026333
    -308.7537286404742645     -0.0130854
    -308.1511152264672546      0.0032812
    -307.5484993872805148     -0.0035445
    -306.9458811230137485      0.0169692
    -306.3432604335339420      0.0142284
    -305.7406373189075453     -0.0036539
    -305.1380117790681652     -0.0058825
    -304.5353838140489415     -0.0086005
    -303.9327534237833675     -0.0085514
