Scan:     19 RXSJ005050.6+353 2015-10-21 +01 48 15.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -548.9945719383565574      0.0021818
    -548.3929344094905218     -0.0013919
    -547.7912944614025719      0.0032328
    -547.1896520940259734      0.0043713
    -546.5880073074606571      0.0067852
    -545.9863601016068060     -0.0000148
    -545.3847104764309961      0.0123674
    -544.7830584319998479     -0.0016734
    -544.1814039682136581     -0.0018074
    -543.5797470851389335      0.0007244
    -542.9780877827422501     -0.0089503
    -542.3764260609236771     -0.0025147
    -541.7747619197833728      0.0118804
    -541.1730953592879132     -0.0042568
    -540.5714263793042846     -0.0075588
    -539.9697549799985836     -0.0047279
    -539.3680811611714034     -0.0077845
    -538.7664049229890679      0.0110978
    -538.1647262653516464      0.0048752
    -537.5630451881594354      0.0052999
    -536.9613616915454486      0.0054403
    -536.3596757753765587     -0.0071816
    -535.7579874397528101      0.0074771
    -535.1562966846073550      0.0034467
    -534.5546035098406037      0.0130119
    -533.9529079155854561     -0.0007054
    -533.3512099017422088     -0.0056966
    -532.7495094682774379      0.0020097
    -532.1478066152246811     -0.0066142
    -531.5461013425504007     -0.0045857
    -530.9443936502547103      0.0012774
    -530.3426835383376101     -0.0057227
    -529.7409710066991693     -0.0002140
    -529.1392560554393185      0.0069288
    -528.5375386844915511     -0.0038298
    -527.9358188937891327      0.0010159
    -527.3340966833986840     -0.0081545
    -526.7323720532205016     -0.0000680
    -526.1306450033542887     -0.0005463
    -525.5289155337335387     -0.0115780
    -524.9271836442916310      0.0000045
    -524.3254493350950725      0.0117140
    -523.7237126060775836      0.0048336
    -523.1219734572055131     -0.0100064
    -522.5202318885457089     -0.0075405
    -521.9184878999648163     -0.0241872
    -521.3167414915960762     -0.0132423
    -520.7149926633396717     -0.0099029
    -520.1132414151290959     -0.0024368
    -519.5114877470640522     -0.0049457
    -518.9097316590114133     -0.0108523
    -518.3079731511043065     -0.0122830
    -517.7062122232098318     -0.0058858
    -517.1044488752944517     -0.0018182
    -516.5026831074579832      0.0021466
    -515.9009149196340331     -0.0063034
    -515.2991443117559811     -0.0002535
    -514.6973712838904476      0.0001150
    -514.0955958359041915      0.0048257
    -513.4938179679636505      0.0047195
    -512.8920376799023870      0.0032380
    -512.2902549717538250      0.0107203
    -511.6884698435177370      0.0035178
    -511.0866822951943504     -0.0066576
    -510.4848923266836778      0.0047600
    -509.8830999380855928     -0.0100157
    -509.2813051292669684     -0.0046899
    -508.6795079003277351     -0.0014260
    -508.0777082512012157      0.0154160
    -507.4759061818208465      0.0075141
    -506.8741016922865583     -0.0120080
    -506.2722947824651101     -0.0072968
    -505.6704854524231791     -0.0072644
    -505.0686737021606518      0.0068259
    -504.4668595315445145     -0.0002623
    -503.8650429407078377     -0.0021729
    -503.2632239295840577      0.0011334
    -502.6614024980400472      0.0093885
    -502.0595786462421870      0.0084370
    -501.4577523740574065      0.0022020
    -500.8559236815522127      0.0036243
    -500.2540925686600986     -0.0113043
    -499.6522590353478108      0.0044473
    -499.0504230816484892     -0.0006428
    -498.4485847075621905     -0.0119060
    -497.8467439129890977     -0.0110772
    -497.2449006979958313      0.0043139
    -496.6430550624824036      0.0044003
    -496.0412070065488024     -0.0046804
    -495.4393565301284070      0.0021350
    -494.8375036331545971     -0.0042968
    -494.2356483156939930      0.0027448
    -493.6337905777133415     -0.0009777
    -493.0319304191127117      0.0018128
    -492.4300678399919775      0.0001094
    -491.8282028402513788      0.0055320
    -491.2263354199573655      0.0079301
    -490.6244655790766842     -0.0056699
    -490.0225933174762076     -0.0025881
    -489.4207186353224301      0.0084858
    -488.8188415324488005     -0.0036555
    -488.2169620089552495     -0.0037309
    -487.6150800648084669     -0.0015485
    -487.0131956998753822     -0.0030274
    -486.4113089142890090      0.0010858
    -485.8094197079828405     -0.0010366
    -485.2075280808904267     -0.0011033
    -484.6056340330781040      0.0077218
    -484.0037375644462259      0.0040552
    -483.4018386750944956     -0.0053792
    -482.7999373649232098      0.0002280
    -482.1980336338988877     -0.0008661
    -481.5961274820882636     -0.0000382
    -480.9942189094247169      0.0001679
    -480.3923079158749943      0.0079636
    -479.7903945014722922      0.0005494
    -479.1884786661501607      0.0036891
    -478.5865604099750499      0.0109985
    -477.9846397328805097      0.0055853
    -477.3827166348331161     -0.0061185
    -476.7807911158330398     -0.0045416
    -476.1788631758801671      0.0090253
    -475.5769328149412445     -0.0063733
    -474.9750000330494686      0.0082553
    -474.3730648301051360      0.0100763
    -473.7711272061746968     -0.0077193
    -473.1691871612249543      0.0038158
    -472.5672446951892880      0.0076282
    -471.9652998081010082      0.0122851
    -471.3633524998935513     -0.0034445
    -470.7614027706667343      0.0008576
    -470.1594506203207402      0.0055618
    -469.5574960488222587      0.0100991
    -468.9555390562046000     -0.0027530
    -468.3535796424677073     -0.0041845
    -467.7516178074785103     -0.0059856
    -467.1496535513701360     -0.0052034
