Scan:    813 RXSJ023231.4+340 2015-11-01 +00 51 18.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5223919135542019     -0.0221843
    -521.9206452984607267     -0.0149936
    -521.3188962635128973      0.0042132
    -520.7171448086439796     -0.0126783
    -520.1153909338875110     -0.0169087
    -519.5136346391767574     -0.0175318
    -518.9118759245450292     -0.0444833
    -518.3101147898922818     -0.0218308
    -517.7083512352854768     -0.0051650
    -517.1065852607576971     -0.0047995
    -516.5048168661423915     -0.0076661
    -515.9030460515729146     -0.0192424
    -515.3012728169160255     -0.0130382
    -514.6994971622382309     -0.0013715
    -514.0977190875064480     -0.0022065
    -513.4959385926871391     -0.0141308
    -512.8941556777805317     -0.0073199
    -512.2923703427532018      0.0150847
    -511.6905825876384597      0.0122212
    -511.0887924123697417      0.0098816
    -510.4869998169137943     -0.0046981
    -509.8852048013704348     -0.0164820
    -509.2834073655732823     -0.0018104
    -508.6816075096221539     -0.0056290
    -508.0798052334504860     -0.0007232
    -507.4780005370250251     -0.0088644
    -506.8761934204455883     -0.0023363
    -506.2743838835457382     -0.0110107
    -505.6725719264254053     -0.0172446
    -505.0707575489846590     -0.0182872
    -504.4689407512901198     -0.0136633
    -503.8671215332418569     -0.0058000
    -503.2652998948399841      0.0105563
    -502.6634758361842614     -0.0016015
    -502.0616493571083083     -0.0200700
    -501.4598204577119986     -0.0156658
    -500.8579891378954017     -0.0092545
    -500.2561553976585742     -0.0210201
    -499.6543192371013902     -0.0146655
    -499.0524806560241018     -0.0070108
    -498.4506396545598932      0.0015930
    -497.8487962326088905     -0.0103198
    -497.2469503902376005      0.0053073
    -496.6451021273129527      0.0009498
    -496.0432514439015677     -0.0230282
    -495.4413983400033317     -0.0033327
    -494.8395428155516811     -0.0085887
    -494.2376848705800398     -0.0058713
    -493.6358245050216738      0.0049947
    -493.0339617188766965      0.0050192
    -492.4320965122116149     -0.0127907
    -491.8302288848933017     -0.0048251
    -491.2283588369882636     -0.0000985
    -490.6264863684301645     -0.0142566
    -490.0246114792519734     -0.0146899
    -489.4227341693541007      0.0048475
    -488.8208544388029964      0.0035602
    -488.2189722875986604     -0.0140615
    -487.6170877156411620      0.0030760
    -487.0152007230305458      0.0180096
    -486.4133113096003171     -0.0061238
    -485.8114194754502364     -0.0158371
    -485.2095252205803604     -0.0062864
    -484.6076285448908720     -0.0111735
    -484.0057294484482782     -0.0067337
    -483.4038279311528186     -0.0096534
    -482.8019239931042534     -0.0050987
    -482.2000176341362021     -0.0166065
    -481.5981088543485384     -0.0096598
    -480.9961976537078954      0.0163829
    -480.3942840321810763     -0.0186004
    -479.7923679897680245      0.0075870
    -479.1904495264355432      0.0007465
    -478.5885286421502656     -0.0087072
    -477.9866053369787551     -0.0048085
    -477.3846796108211947     -0.0018091
    -476.7827514637441482      0.0114422
    -476.1808208956144881      0.0131763
    -475.5788879065653418     -0.0057724
    -474.9769524964303287     -0.0069030
    -474.3750146652758986     -0.0053507
    -473.7730744131354186     -0.0086471
    -473.1711317398757615     -0.0178163
    -472.5691866456300545     -0.0118977
    -471.9672391302318601      0.0020244
    -471.3652891937144886      0.0002175
    -470.7633368361445036      0.0046722
    -470.1613820574220313      0.0068296
    -469.5594248575803249      0.0031558
    -468.9574652365529346      0.0098762
    -468.3555031943730000     -0.0093281
    -467.7535387309740713     -0.0030488
    -467.1515718463894018      0.0054616
    -466.5496025406189347      0.0096305
    -465.9476308135628528      0.0106053
    -465.3456566653209734     -0.0035658
    -464.7436800957602827     -0.0050345
    -464.1417011049471739     -0.0017121
    -463.5397196928818175     -0.0090187
    -462.9377358594642828     -0.0210834
    -462.3357496047610766     -0.0123164
    -461.7337609287057489     -0.0118804
    -461.1317698313314963      0.0153886
    -460.5297763125385586     -0.0078799
    -459.9277803723933857     -0.0116744
    -459.3257820108960345     -0.0020694
    -458.7237812279466880     -0.0053752
    -458.1217780236118529     -0.0059712
    -457.5197723978249655     -0.0086150
    -456.9177643505528295      0.0085988
    -456.3157538818952048      0.0054468
    -455.7137409916856541     -0.0052921
    -455.1117256800241080     -0.0004825
    -454.5097079468440029      0.0040757
    -453.9076877921452819     -0.0109153
    -453.3056652158946918     -0.0132726
    -452.7036402180921755     -0.0008002
    -452.1016127987378468      0.0031483
    -451.4995829577983386      0.0058598
    -450.8975506952735941     -0.0100709
    -450.2955160111304735      0.0011030
    -449.6934789053356099      0.0117689
    -449.0914393779555667      0.0075755
    -448.4893974288572736     -0.0004509
    -447.8873530581404907     -0.0073561
    -447.2853062657054579     -0.0033815
    -446.6832570516185683      0.0023304
    -446.0812054157802322     -0.0149220
    -445.4791513581902791     -0.0061525
    -444.8770948789485828      0.0121574
    -444.2750359778554525      0.0049016
    -443.6729746550773257      0.0074884
    -443.0709109104477079      0.0056701
    -442.4688447440000232     -0.0095509
    -441.8667761558007214      0.0000730
