Scan:    641 2MASSJ00294+2424 2015-10-28 +04 03 08.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -440.0719214732672526     -0.0041210
    -439.4698278250764361      0.0095347
    -438.8677317548344945      0.0016865
    -438.2656332626079347      0.0118182
    -437.6635323483302500     -0.0086157
    -437.0614290119348766      0.0008708
    -436.4593232535549419      0.0033865
    -435.8572150730573185      0.0046835
    -435.2551044704420065      0.0087132
    -434.6529914457422024      0.0111082
    -434.0508759988914562     -0.0039567
    -433.4487581299230214     -0.0057736
    -432.8466378388035878     -0.0114768
    -432.2445151254333382     -0.0154315
    -431.6423899899454000      0.0004373
    -431.0402624322731526     -0.0064014
    -430.4381324523168360      0.0000406
    -429.8360000502094636      0.0110322
    -429.2338652257514013      0.0036413
    -428.6317279791423971      0.0138610
    -428.0295883102160133      0.0081908
    -427.4274462189721930      0.0045807
    -426.8253017054442466     -0.0043916
    -426.2231547696322309      0.0028699
    -425.6210054114362151     -0.0091457
    -425.0188536309227629      0.0013959
    -424.4166994279920573      0.0005938
    -423.8145428027772823      0.0107158
    -423.2123837551119436      0.0112244
    -422.6102222850292947     -0.0003651
    -422.0080583925627593     -0.0033751
    -421.4058920776789137     -0.0021833
    -420.8037233402779975     -0.0203534
    -420.2015521804598279      0.0023457
    -419.5993785981578412      0.0040051
    -418.9972025933387272     -0.0039299
    -418.3950241660357960     -0.0073696
    -417.7928433161491739     -0.0033656
    -417.1906600438120449     -0.0072169
    -416.5884743488912818     -0.0204837
    -415.9862862313535175     -0.0019719
    -415.3840956912986826     -0.0047838
    -414.7819027286600999      0.0031871
    -414.1797073433380660      0.0072730
    -413.5775095354323412      0.0001636
    -412.9753093048429946      0.0011506
    -412.3731066516701276     -0.0138521
    -411.7709015758136388     -0.0005982
    -411.1686940772071353     -0.0138153
    -410.5664841559836304     -0.0061982
    -409.9642718120432505     -0.0065377
    -409.3620570452863490     -0.0036803
    -408.7598398558791359     -0.0033838
    -408.1576202436552308      0.0063791
    -407.5553982086813107      0.0097552
    -406.9531737509572622      0.0124696
    -406.3509468703832681     -0.0075834
    -405.7487175670258921     -0.0024125
    -405.1464858408186274     -0.0060999
    -404.5442516917613602      0.0086989
    -403.9420151198542044      0.0002484
    -403.3397761250304825      0.0130055
    -402.7375347073901253     -0.0057570
    -402.1352908668332589     -0.0112987
    -401.5330446033265730     -0.0051460
    -400.9307959169034916     -0.0084391
    -400.3285448075637873     -0.0039155
    -399.7262912751744466      0.0020306
    -399.1240353199019637      0.0116149
    -398.5217769416129840      0.0103491
    -397.9195161402744816      0.0057356
    -397.3172529159529063     -0.0034406
    -396.7149872685482705     -0.0063625
    -396.1127191981606757     -0.0041750
    -395.5104487047234443     -0.0090448
    -394.9081757881366457     -0.0018994
    -394.3059004485002106     -0.0060548
    -393.7036226857476322     -0.0151871
    -393.1013424998455434     -0.0199442
    -392.4990598908605079     -0.0091704
    -391.8967748586593984      0.0142643
    -391.2944874033087785      0.0116659
    -390.6921975248420154      0.0006998
    -390.0899052230926145     -0.0007195
    -389.4876104981603362      0.0031183
    -388.8853133500453509     -0.0036427
    -388.2830137786144746     -0.0159693
    -387.6807117840007777     -0.0099554
    -387.0784073660711897      0.0029394
    -386.4761005248922743      0.0062432
    -385.8737912603974110     -0.0000414
    -385.2714795725533463     -0.0150959
    -384.6691654614599543     -0.0049254
    -384.0668489269841075      0.0024386
    -383.4645299691257492      0.0073913
    -382.8622085879514998     -0.0098265
    -382.2598847833614286     -0.0247523
    -381.6575585553557062      0.0177721
    -381.0552299039674153     -0.0000108
    -380.4528988290967959      0.0003933
    -379.8505653308437218     -0.0072249
    -379.2482294091083190      0.0040623
    -378.6458910638572775      0.0058979
    -378.0435502951904709      0.0128828
    -377.4412071030081393      0.0038580
    -376.8388614872434914     -0.0039111
    -376.2365134480298821      0.0032625
    -375.6341629851675066     -0.0015315
    -375.0318100988560559     -0.0091152
    -374.4294547889291493      0.0012147
    -373.8270970553535335     -0.0057360
    -373.2247368982289686     -0.0143451
    -372.6223743175222580     -0.0154231
    -372.0200093131002177     -0.0047793
    -371.4176418850627215      0.0053737
    -370.8152720333431489     -0.0012447
    -370.2128997579749239      0.0025022
    -369.6105250589245657      0.0031244
    -369.0081479360923140      0.0154797
    -368.4057683896114099      0.0089530
    -367.8033864193818090     -0.0006325
    -367.2010020253704283     -0.0072335
    -366.5986152076436611     -0.0094531
    -365.9962259660684367     -0.0054534
    -365.3938343007446292      0.0146770
    -364.7914402116056749      0.0160967
    -364.1890436986182635     -0.0152664
    -363.5866447618156485      0.0031456
    -362.9842434011646333     -0.0108451
    -362.3818396165985405      0.0027082
    -361.7794334082173577      0.0118410
    -361.1770247759210974     -0.0087450
    -360.5746137196765631     -0.0022996
    -359.9722002395169511      0.0002576
    -359.3697843354091219      0.0123843
    -358.7673660073529618      0.0058875
    -358.1649452553817810      0.0115134
    -357.5625220793291419      0.0089008
    -356.9600964793282287      0.0110862
    -356.3576684553456744      0.0109190
    -355.7552380072485221      0.0096271
    -355.1528051351696718      0.0087522
    -354.5503698389761098     -0.0083117
    -353.9479321187677101     -0.0134288
    -353.3454919744779090     -0.0085197
    -352.7430494060067758      0.0145393
    -352.1406044134874378      0.0064810
    -351.5381569968535018     -0.0085578
    -350.9357071560048666      0.0092411
    -350.3332548910415767      0.0002866
    -349.7308002018637012      0.0022500
    -349.1283430885378607     -0.0003974
    -348.5258835509974347     -0.0069786
    -347.9234215892091129     -0.0091998
    -347.3209572032062624     -0.0146209
    -346.7184903929887696     -0.0032562
    -346.1160211584236777     -0.0029753
    -345.5135494996439434     -0.0096725
    -344.9110754165164963     -0.0023593
    -344.3085989091412671      0.0097119
    -343.7061199774515785     -0.0091270
    -343.1036386213808669      0.0030216
    -342.5011548409957527     -0.0078474
    -341.8986686362296723     -0.0024426
    -341.2961800070493155      0.0058123
    -340.6936889535211890      0.0019873
    -340.0911954755788429     -0.0090463
    -339.4886995731556567     -0.0074311
    -338.8862012463514475      0.0006597
    -338.2837004950332016     -0.0133456
    -337.6811973193339327      0.0211147
    -337.0786917191204566      0.0162958
    -336.4761836943596336      0.0012012
    -335.8736732451512239      0.0026474
    -335.2711603713954673      0.0049311
